10,0.004980
20,0.012826
30,0.015573
40,0.020535
50,0.024932
60,0.030416
70,0.035476
80,0.040561
90,0.045402
100,0.050171
110,0.055662
120,0.060225
130,0.065713
140,0.070429
150,0.075622
160,0.080400
170,0.085276
180,0.090237
190,0.095320
200,0.100129
210,0.105131
220,0.110123
230,0.115336
240,0.120099
250,0.124835
260,0.130055
270,0.134954
280,0.140188
290,0.144848
300,0.149734
310,0.154597
320,0.159956
330,0.164631
340,0.169539
350,0.174678
360,0.179295
370,0.184480
380,0.189713
390,0.195123
400,0.199580
410,0.204430
420,0.209737
430,0.214531
440,0.219404
450,0.224067
460,0.229205
470,0.234797
480,0.239125
490,0.244206
500,0.249691
510,0.254147
520,0.259525
530,0.264352
540,0.269586
550,0.273953
560,0.279380
570,0.284896
580,0.289258
590,0.294480
600,0.298693
610,0.304023
620,0.309040
630,0.313932
640,0.319349
650,0.324033
660,0.329566
670,0.334192
680,0.339421
690,0.343711
700,0.348768
710,0.353571
720,0.358450
730,0.363998
740,0.368639
750,0.374544
760,0.378840
770,0.383943
780,0.388568
790,0.393742
800,0.398861
810,0.403365
820,0.409047
830,0.413650
840,0.418578
850,0.423382
860,0.428216
870,0.433382
880,0.438071
890,0.446502
900,0.448138
910,0.453145
920,0.457630
930,0.463258
940,0.467945
950,0.473189
960,0.477551
970,0.482289
980,0.488225
990,0.493521
1000,0.498146
